Report No.,Code,Incident Type,Title,Date,Location,Barangay,Municipality,Province,Latitude,Longitude,Description,Weapons,Actors,Unspecified,Pistol,Revolver,Assault Rifle,Rifle,Shotgun,SMG,LMG,HMG,GL,AGL,RPG/ATW,Mortar,ATGM,MANPADS,Hand Grenade,Projected Gren,Rifle Gren,Munition,Ammo,Craft handgun,Craft Rifle,Craft Shotgun,Craft SMG,Craft RPG,Tags,Convergence,Score,Source
2,PHL.26.02.01.001,Destruction,EOD Unit Conducts Three Disposal Operations Across Luzon in February,01 February 2026,"Labo, Camarines Norte; Milagros, Masbate; Crow Valley, Capas, Tarlac","Labo, Camarines Norte; Milagros, Masbate; Crow Valley, Capas, Tarlac",,Tarlac,14.1533,122.8286,"Troops from the 1st Explosive Ordnance Disposal Company (1EODC) neutralized more than 800 explosive items across three operations in February 2026. On 1 February, the unit destroyed approximately 500 assorted captured, confiscated, surrendered, and recovered improvised explosive devices (IEDs) and unexploded ordnance (UXO) in Labo, Camarines Norte. On 7 February, the 3rd EOD Platoon safely neutralized 234 explosive items including improvised mines and grenades, high-explosive cartridges, rifle grenades, and other explosive accessories in Milagros, Masbate. On 18 February, the unit disposed of 134 UXO, including a 100-pound general purpose bomb and other high-explosive munitions, at Crow Valley in Capas, Tarlac.","- Approximately 868 assorted IEDs and UXO, including improvised mines, grenades, projected grenades, rifle grenades, and 1 100-pound general purpose bomb [Images showed a Yugoslav/Serbian 81mm M72 mortar round with NR-2117 fuze, 1 40mm projected grenade, and various improvised explosive devices and explosive materials]","Military (1st Explosive Ordnance Disposal Company, 3rd EOD Platoon)",,,,,,,,,,,,,,,,,,,868,,,,,,,,,,https://www.facebook.com/kalinawnews/posts/pfbid02FrdgCvJod7VsWYbS2M9cC6vjJsXXfcFYDBaQBs7UY6hRMAzr4u6zTY1brGTDhjvHl
3,PHL.26.02.07.001,Surrender/amnesty,"DI Members Surrender F-1 Grenades, RPG, SMGs to Troops in Lanao del Sur",07 February 2026,"Barangay Matalin, Malabang, Lanao del Sur",Barangay Matalin,Malabang,Lanao del Sur,7.62928302212755,124.085863091044,"Eight former Dawlah Islamiya members surrendered an RPG launcher, three KG-9 submachine guns, three M1 Garand rifles, 80 hand grenades, and two rounds of RPG munitions to troops in Barangay Matalin, Malabang, Lanao del Sur on 7 February 2026. The former militants reportedly admitted to extorting vehicle owners and businesses on behalf of their commanders, threatening to use improvised explosive devices if the owners did not cooperate.

The surrender was facilitated through sustained community engagement and intensified security operations conducted by the 101st Infantry Brigade and the 64th Infantry Battalion, with support from local government officials including Lanao del Sur Governor Mamintal Adiong Jr. The former militants are expected to undergo reintegration through the Western Mindanao Command's reconciliation program for violent religious extremists.

Images of the weapons showed three US-origin Intratec TEC-KG9 semi-automatic submachine guns with factory markings clearly visible.","- 1 craft RPG-3-style launcher
- 3 KG-9 submachine guns
- 3 M1 Garand rifles
- 79 F-1 hand grenades
- 1 unidentified hand grenade
- 2 improvised PG-2-style munitions
- 24 rounds of ammunition","NSAG (Dawlah Islamiya)
Military (101st Infantry Brigade, 64th Infantry Battalion)
Police (PNP)",,,,,3,,,,,,,,,,,80,,,2,24,,,,3,1,"Terrorism
Insurgency
Crime",,=SUM(L3:N3)+(5*O3)+(3*P3)+(2*Q3)+(5*R3)+(10*S3)+(20*T3)+(10*U3)+(50*V3)+(20*W3)+(30*X3)+(100*Y3)+(200*Z3)+(5*AA3)+(AB3)+(2*AC3)+(10*AD3)+(0.01*AE3)+(0.5*AF3)+(AG3)+(0.5*AH3)+(AI3)+(5*AJ3),https://www.facebook.com/kalinawnews/posts/pfbid02pHtZsxVLS6EiNdgKPEv5oLdddqKfKoK1zmBYafqSJzhubdA5dwd15gszyYuXUcf3l
1,PHL.26.02.14.001,Seizure,Police recover submachine gun and improvised explosive devices from NPA arms cache in Agusan del Sur,14 February 2026,"Barangay Sta. Cruz, Rosario, Agusan del Sur",Barangay Sta. Cruz,Rosario,Agusan del Sur,8.3507,126.0325,"Personnel from the 1st Special Action Battalion, Force Support Battalion, FIID, and 2nd Provincial Mobile Force Company, in coordination with the Agusan del Sur PPO, located and seized a suspected NPA arms cache in Barangay Sta. Cruz, Rosario, Agusan del Sur between 14 and 17 February 2026. Despite initial police reports describing two hand grenades, one IED, and 30 metres of detonating wire, images of the recovered items showed one M3 submachine gun, one craft shotgun, and several improvised explosive devices, with no grenades visible. The recovered explosives and related materials were placed under the custody of the Provincial EOD and Canine Unit of the Agusan del Sur PPO.","- 1 M3 submachine gun
- 1 craft shotgun
- several improvised explosive devices
- 30 metres of detonating wire
- 5 magazines for caliber 7.62mm firearms","NSAG (CPP-NPA)
Police (1st Special Action Battalion, Force Support Battalion, FIID, 2nd Provincial Mobile Force Company, Agusan del Sur PPO, Provincial EOD and Canine Unit)",,,,,,,1,,,,,,,,,,,,,,,,1,,,Insurgency,,=SUM(L4:N4)+(5*O4)+(3*P4)+(2*Q4)+(5*R4)+(10*S4)+(20*T4)+(10*U4)+(50*V4)+(20*W4)+(30*X4)+(100*Y4)+(200*Z4)+(5*AA4)+(AB4)+(2*AC4)+(10*AD4)+(0.01*AE4)+(0.5*AF4)+(AG4)+(0.5*AH4)+(AI4)+(5*AJ4),https://www.facebook.com/pnp.pio/posts/pfbid022c7jdACeT4THu5da37rZFtwP4LHVBzZ8wxJHby8iwCgbnbsPd67gBrgR4yuTtCynl
1,PHL.26.02.16.001,Illicit transfer,Police seize M14 rifle and pistols from alleged arms trafficker in Marawi City,16 February 2026,"Barangay Matampay, Marawi City, Lanao del Sur",Barangay Matampay,Marawi City,Lanao del Sur,8.0123,124.2856,"Police from the CIDG Cotabato City Field Unit and CIDG RFU-Bangsamoro, supported by the PNP Special Action Force, arrested a 56-year-old male suspect identified by the alias ""Mario"" in Barangay Matampay, Marawi City, Lanao del Sur on 16 February 2026. The suspect, a resident of Barangay Palao, Bobong, was apprehended while allegedly selling three unregistered firearms — one M14 rifle, one caliber .45 pistol, and one caliber .40 pistol — along with magazines and approximately 30 rounds of ammunition. The suspect is alleged to have been involved in gunrunning activities in and around Marawi City. Around the same period, police publicized a series of simultaneous operations in Negros Occidental also targeting alleged gunrunners, resulting in seven additional firearms seized.","- 1 M14 rifle
- 1 caliber .45 pistol
- 1 caliber .40 pistol
- approximately 30 rounds of ammunition","Criminal individual (arms trafficker)
Police (CIDG Cotabato City Field Unit, CIDG RFU-Bangsamoro, PNP Special Action Force)",,2,,,1,,,,,,,,,,,,,,,30,,,,,,Crime,,=SUM(L5:N5)+(5*O5)+(3*P5)+(2*Q5)+(5*R5)+(10*S5)+(20*T5)+(10*U5)+(50*V5)+(20*W5)+(30*X5)+(100*Y5)+(200*Z5)+(5*AA5)+(AB5)+(2*AC5)+(10*AD5)+(0.01*AE5)+(0.5*AF5)+(AG5)+(0.5*AH5)+(AI5)+(5*AJ5),https://www.facebook.com/cidg.pio/posts/pfbid02ep1UC4FB97XW46btVEezJsayNK1oe3fobR1Sr289fG8DTBsA9X1S1JuVKpk8LUMUl
1,PHL.26.02.17.001,Surrender/amnesty,NPA member surrenders submachine gun and rifle grenades to state forces in Albay,17 February 2026,"Barangay Ibaugan, Daraga, Albay",Barangay Ibaugan,Daraga,Albay,13.0233,123.6272,"An NPA member handed over their weapons and explosives upon surrendering to government forces at Barangay Ibaugan, Daraga, Albay on 17 February 2026. The surrender was facilitated with the assistance of the 31st Infantry Battalion and the Philippine National Police under the Enhanced Comprehensive Local Integration Program (E-CLIP). Images showed the recovered items consisted of one Intratec TEC-9 submachine gun, two M76 rifle grenades, and approximately 250 rounds of ammunition. The 31st Infantry Battalion took custody of the weapons.","- 1 Intratec TEC-9 submachine gun
- 2 M76 rifle grenades
- approximately 250 rounds of ammunition","NSAG (CPP-NPA)
Military (31st Infantry Battalion)
Police (PNP)",,,,,,,,,,,,,,,,,,2,,250,,,,1,,Insurgency,,=SUM(L6:N6)+(5*O6)+(3*P6)+(2*Q6)+(5*R6)+(10*S6)+(20*T6)+(10*U6)+(50*V6)+(20*W6)+(30*X6)+(100*Y6)+(200*Z6)+(5*AA6)+(AB6)+(2*AC6)+(10*AD6)+(0.01*AE6)+(0.5*AF6)+(AG6)+(0.5*AH6)+(AI6)+(5*AJ6),https://www.facebook.com/RadyoPilipinas/posts/pfbid0vXv5pVjspUdCy6CDMzZdYct5crUpsy2qS9zXxnc9nZQyixRjqvWcptAbcgKEJ2a2l
1,PHL.26.02.21.001,Seizure,"NPA arms cache recovered by army and police in Buenavista, Quezon",21 February 2026,"Between Brgys San Isidro Ilaya and Rizal, Buenavista, Quezon Province ",Between Brgys San Isidro Ilaya and Rizal,Buenavista,Quezon Province,13.7074,122.4195,"Troops from the 85th Infantry (Sandiwa) Battalion, under the 201st Infantry (Kabalikat) Brigade, operating in coordination with the Philippine National Police in Quezon, recovered a buried arms cache at the boundary of Barangay San Isidro Ilaya and Barangay Rizal in Buenavista on 21 February. The operation was initiated following information provided by a former NPA member regarding the location of the concealed weapons. According to military reports, the firearms were buried following a series of armed encounters in Barangay Pansoy, San Andres, Quezon, and Barangay Huyon-Huyon, San Francisco, Quezon in January 2023. During their withdrawal, retreating NPA members buried two M16 rifles with attached M203 grenade launchers after exhausting their ammunition, and abandoned a third M16 rifle to hasten their movement. Intensified military operations and gunshot wounds sustained by some members of the group compelled them to leave the weapons behind. Security and clearing operations in the area are ongoing.","- 3 M16A1 assault rifles
- 2 M203 40mm grenade launchers","NSAG (CPP-NPA)
Military (85th Infantry Battalion / 201st Infantry Brigade / 2nd Infantry Division, Philippine Army) 
Police (PNP Quezon)",,,,3,,,,,,2,,,,,,,,,,,,,,,,Insurgency,https://www.facebook.com/Sandiwa85/posts/pfbid025irqbovkjzovQrgEhkfnLMhC2qdvNjMUZRRTFFzXpyV7hLeedDqEvAJk5QWzyzCfl,=SUM(L7:N7)+(5*O7)+(3*P7)+(2*Q7)+(5*R7)+(10*S7)+(20*T7)+(10*U7)+(50*V7)+(20*W7)+(30*X7)+(100*Y7)+(200*Z7)+(5*AA7)+(AB7)+(2*AC7)+(10*AD7)+(0.01*AE7)+(0.5*AF7)+(AG7)+(0.5*AH7)+(AI7)+(5*AJ7),https://www.facebook.com/junglefighterdivision/posts/pfbid0pScv9AFf2HEYEWR5eQvNQ6b1o9jFYiAFRD51VmUhkUN39ZLVHyvvRxsV7pA5FheCl
1,PHL.26.02.21.002,Surrender/amnesty,"NPA member surrenders craft shotgun to police in Talakag, Bukidnon",21 February 2026,"Barangay Tagbak, Talakag, Bukidnon",Barangay Tagbak,Talakag,Bukidnon,7.977,124.583,"An NPA member surrendered one craft shotgun and three rounds of ammunition to police in Barangay Tagbak, Talakag, Bukidnon on 21 February 2026. The surrender was the result of sustained intelligence and community engagement efforts conducted by personnel of the 1004th and 1003rd Maneuver Companies, PRO 10, the Talakag Municipal Police Station, and the Bukidnon Provincial Intelligence Unit.","- 1 craft shotgun
- 3 rounds of ammunition","NSAG (CPP-NPA)
Police (1004th Maneuver Company, 1003rd Maneuver Company, PRO 10, Talakag Municipal Police Station, Bukidnon Provincial Intelligence Unit)",,,,,,,,,,,,,,,,,,,,3,,,1,,,Insurgency,,=SUM(L8:N8)+(5*O8)+(3*P8)+(2*Q8)+(5*R8)+(10*S8)+(20*T8)+(10*U8)+(50*V8)+(20*W8)+(30*X8)+(100*Y8)+(200*Z8)+(5*AA8)+(AB8)+(2*AC8)+(10*AD8)+(0.01*AE8)+(0.5*AF8)+(AG8)+(0.5*AH8)+(AI8)+(5*AJ8),https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid0MoJBTQkgbPZJhLFCZvmTtmxnJqGUFG91HBC81jBDKaQ7M5KKKCjX2w4K4siNxDnvl
1,PHL.26.02.21.003,Surrender/amnesty,"Milisyang Bayan member surrenders rifle to troops in San Mariano, Isabela",21 February 2026,"San Mariano, Isabela",,San Mariano,Isabela,16.9837,122.0004,"A former Milisyang Bayan member voluntarily surrendered a rifle, ammunition, and materials for improvised explosive devices to troops of the 95th Infantry Battalion in San Mariano, Isabela on 21 February 2026. The surrender was attributed to sustained engagement efforts by the battalion and the government's continuing call for armed group members to abandon violence. Images corroborated the recovery of one bolt-action rifle and 12 rounds of ammunition.","- 1 bolt-action rifle
- 12 rounds of ammunition
- IED materials","NSAG (Milisyang Bayan / CPP-NPA)
Military (95th Infantry Battalion, 5th Infantry Division)",,,,,1,,,,,,,,,,,,,,,12,,,,,,Insurgency,,=SUM(L9:N9)+(5*O9)+(3*P9)+(2*Q9)+(5*R9)+(10*S9)+(20*T9)+(10*U9)+(50*V9)+(20*W9)+(30*X9)+(100*Y9)+(200*Z9)+(5*AA9)+(AB9)+(2*AC9)+(10*AD9)+(0.01*AE9)+(0.5*AF9)+(AG9)+(0.5*AH9)+(AI9)+(5*AJ9),https://www.facebook.com/5thinfantrystardivision/posts/pfbid0233zwMC5EUZnxbPiWgy9tuUpyfzYK29uHUhejoyRk3YZtmTPkc1jTkzQFDYHGdi5nl
1,PHL.26.02.21.004,Illicit transfer,Police arrest alleged arms trafficker in buy-bust operation in Cebu City,21 February 2026,"Abasolo White Road, Barangay Inayawan, Cebu City","Abasolo White Road, Barangay Inayawan",Cebu City,Cebu,10.2662,123.8599,"Personnel of the CIDG Lapu-Lapu City Field Unit and CIDG RFU-7 conducted a buy-bust operation on Abasolo White Road in Barangay Inayawan, Cebu City on 21 February 2026, resulting in the arrest of a 47-year-old male resident of Barangay Pardo. The suspect was allegedly selling unregistered firearms and was found in possession of one ""Ingram M11""-style submachine gun, two caliber .45 pistols, and associated magazines. Two sachets of suspected shabu were also seized during the operation. The suspect is alleged to have been involved in gunrunning and drug activities in and around Cebu City.","- 1 M11-style submachine gun
- 2 caliber .45 pistols","Criminal individual (arms trafficker, drug user)
Police (CIDG Lapu-Lapu City Field Unit, CIDG RFU-7)",,2,,,,,,,,,,,,,,,,,,,,,,1,,Crime,Drug trafficking,=SUM(L10:N10)+(5*O10)+(3*P10)+(2*Q10)+(5*R10)+(10*S10)+(20*T10)+(10*U10)+(50*V10)+(20*W10)+(30*X10)+(100*Y10)+(200*Z10)+(5*AA10)+(AB10)+(2*AC10)+(10*AD10)+(0.01*AE10)+(0.5*AF10)+(AG10)+(0.5*AH10)+(AI10)+(5*AJ10),https://www.facebook.com/cidg.pio/posts/pfbid02KFkdpPCzw6Qgm6SgFWZB7z5VRZt4dcMFS7jv3MHpMQa6mrKXd6gY3GSfKomQDUqyl
1,PHL.26.02.22.001,Seizure,"83rd Infantry Battalion clashes with NPA in Presentacion, Camarines Sur",22 February 2026,"Barangay Lidong, Presentacion, Camarines Sur",Barangay Lidong,Presentacion,Camarines Sur,13.8095,123.6932,"Troops of the 83rd Infantry Battalion, operating under the 901st Infantry Brigade, conducted an operation against NPA elements in Barangay Lidong, Presentacion, Camarines Sur on 22 February 2026. The operation resulted in an armed encounter, after which troops seized one M16A1 rifle, one M14 rifle, dozens of rounds of ammunition, and an improvised explosive device. Traces of blood were discovered at the encounter site, indicating that NPA members sustained injuries during the clash.","- 1 M16A1 assault rifle
- 1 M14 rifle
- dozens of rounds of ammunition
- 1 improvised explosive device","NSAG (CPP-NPA)
Military (83rd Infantry Battalion, 901st Infantry Brigade)",,,,1,1,,,,,,,,,,,,,,,,,,,,,Insurgency,,=SUM(L11:N11)+(5*O11)+(3*P11)+(2*Q11)+(5*R11)+(10*S11)+(20*T11)+(10*U11)+(50*V11)+(20*W11)+(30*X11)+(100*Y11)+(200*Z11)+(5*AA11)+(AB11)+(2*AC11)+(10*AD11)+(0.01*AE11)+(0.5*AF11)+(AG11)+(0.5*AH11)+(AI11)+(5*AJ11),https://www.facebook.com/fightemtroopers/posts/pfbid0R8P2Fj8Dx58R6Z6NqRvmz55Sd5nX84oafnrQpZYZueJYH9Nz4ZuzaMQ2UAAE8Tonl
