Report No.	Code	Incident Type	Title	Date	Location	Latitude	Longitude	Description	Weapons	Actors	Unspecified	Pistol	Revolver	Assault Rifle	Rifle	Shotgun	SMG	LMG	HMG	GL	AGL	RPG/ATW	Mortar	ATGM	MANPADS	Hand Grenade	Projected Gren	Rifle Gren	Munition	Ammo	Craft handgun	Craft Rifle	Craft Shotgun	Craft SMG	Craft RPG	Tags	Convergence	Score	Source
2	PHL.26.02.01.001	Destruction	EOD Unit Conducts Three Disposal Operations Across Luzon in February	2/1/2026	Labo, Camarines Norte; Milagros, Masbate; Crow Valley, Capas, Tarlac	14.1533	122.8286	Troops from the 1st Explosive Ordnance Disposal Company (1EODC) neutralized more than 800 explosive items across three operations in February 2026. On 1 February, the unit destroyed approximately 500 assorted captured, confiscated, surrendered, and recovered improvised explosive devices (IEDs) and unexploded ordnance (UXO) in Labo, Camarines Norte. On 7 February, the 3rd EOD Platoon safely neutralized 234 explosive items including improvised mines and grenades, high-explosive cartridges, rifle grenades, and other explosive accessories in Milagros, Masbate. On 18 February, the unit disposed of 134 UXO, including a 100-pound general purpose bomb and other high-explosive munitions, at Crow Valley in Capas, Tarlac.	Approximately 868 assorted IEDs and UXO, including improvised mines, grenades, high-explosive cartridges, rifle grenades, and one 100-pound general purpose bomb [Images showed a Yugoslav/Serbian 81mm M72 mortar round with NR-2117 fuze; one 40mm projected grenade, and various improvised explosive devices and explosive materials].	Military (1st Explosive Ordnance Disposal Company, 3rd EOD Platoon)																			868										https://www.facebook.com/kalinawnews/posts/pfbid02FrdgCvJod7VsWYbS2M9cC6vjJsXXfcFYDBaQBs7UY6hRMAzr4u6zTY1brGTDhjvHl
3	PHL.26.02.07.001	Surrender	DI Members Surrender F-1 Grenades, RPG, SMGs to Troops in Lanao del Sur	2/7/2026	Barangay Matalin, Malabang, Lanao del Sur	7.629283022127549	124.0858630910437	"Eight former Dawlah Islamiya members surrendered an RPG launcher, three KG-9 submachine guns, three M1 Garand rifles, 80 hand grenades, and two rounds of RPG munitions to troops in Barangay Matalin, Malabang, Lanao del Sur on 7 February 2026. The former militants reportedly admitted to extorting vehicle owners and businesses on behalf of their commanders, threatening to use improvised explosive devices if the owners did not cooperate.

The surrender was facilitated through sustained community engagement and intensified security operations conducted by the 101st Infantry Brigade and the 64th Infantry Battalion, with support from local government officials including Lanao del Sur Governor Mamintal Adiong Jr. The former militants are expected to undergo reintegration through the Western Mindanao Command's reconciliation program for violent religious extremists.

Images of the weapons showed three US-origin Intratec TEC-KG9 semi-automatic submachine guns with factory markings clearly visible."	1 craft RPG-3-style launcher; 3 KG-9 submachine guns; 3 M1 Garand rifles; 79 F-1 hand grenades; 1 unidentified hand grenade; 2 improvised PG-2-style munitions; 24 rounds of ammunition.	"NSAG (Dawlah Islamiya)
Military (101st Infantry Brigade, 64th Infantry Battalion)
Police (PNP)"					3											80			2	24				3	1	"Terrorism
Insurgency
Crime"		437.24	https://www.facebook.com/kalinawnews/posts/pfbid02pHtZsxVLS6EiNdgKPEv5oLdddqKfKoK1zmBYafqSJzhubdA5dwd15gszyYuXUcf3l
1	PHL.26.02.14.001	Seizure	Police recover submachine gun and improvised explosive devices from NPA arms cache in Agusan del Sur	2/14/2026	Barangay Sta. Cruz, Rosario, Agusan del Sur	8.3507	126.0325	Personnel from the 1st Special Action Battalion, Force Support Battalion, FIID, and 2nd Provincial Mobile Force Company, in coordination with the Agusan del Sur PPO, located and seized a suspected NPA arms cache in Barangay Sta. Cruz, Rosario, Agusan del Sur between 14 and 17 February 2026. Despite initial police reports describing two hand grenades, one IED, and 30 metres of detonating wire, images of the recovered items showed one M3 submachine gun, one craft shotgun, and several improvised explosive devices, with no grenades visible. The recovered explosives and related materials were placed under the custody of the Provincial EOD and Canine Unit of the Agusan del Sur PPO.	"one M3 submachine gun
one craft shotgun
several improvised explosive devices
30 metres of detonating wire
5 magazines for caliber 7.62mm firearms"	"NSAG (CPP-NPA)
Police (1st Special Action Battalion, Force Support Battalion, FIID, 2nd Provincial Mobile Force Company, Agusan del Sur PPO, Provincial EOD and Canine Unit)"							1																1			Insurgency		5.5	https://www.facebook.com/pnp.pio/posts/pfbid022c7jdACeT4THu5da37rZFtwP4LHVBzZ8wxJHby8iwCgbnbsPd67gBrgR4yuTtCynl
1	PHL.26.02.16.001	Illicit transfer	Police seize M14 rifle and pistols from alleged arms trafficker in Marawi City	2/16/2026	Barangay Matampay, Marawi City, Lanao del Sur	8.0123	124.2856	Police from the CIDG Cotabato City Field Unit and CIDG RFU-Bangsamoro, supported by the PNP Special Action Force, arrested a 56-year-old male suspect identified by the alias "Mario" in Barangay Matampay, Marawi City, Lanao del Sur on 16 February 2026. The suspect, a resident of Barangay Palao, Bobong, was apprehended while allegedly selling three unregistered firearms Ã¢â‚¬â€ one M14 rifle, one caliber .45 pistol, and one caliber .40 pistol Ã¢â‚¬â€ along with magazines and approximately 30 rounds of ammunition. The suspect is alleged to have been involved in gunrunning activities in and around Marawi City. Around the same period, police publicized a series of simultaneous operations in Negros Occidental also targeting alleged gunrunners, resulting in seven additional firearms seized.	"one M14 rifle
one caliber .45 pistol
one caliber .40 pistol
approximately 30 rounds of ammunition"	"Criminal individual (arms trafficker)
Police (CIDG Cotabato City Field Unit, CIDG RFU-Bangsamoro, PNP Special Action Force)"		2			1															30						Crime		5.3	https://www.facebook.com/cidg.pio/posts/pfbid02ep1UC4FB97XW46btVEezJsayNK1oe3fobR1Sr289fG8DTBsA9X1S1JuVKpk8LUMUl
1	PHL.26.02.17.001	Surrender	NPA member surrenders submachine gun and rifle grenades to state forces in Albay	2/17/2026	Barangay Ibaugan, Daraga, Albay	13.0233	123.6272	An NPA member handed over their weapons and explosives upon surrendering to government forces at Barangay Ibaugan, Daraga, Albay on 17 February 2026. The surrender was facilitated with the assistance of the 31st Infantry Battalion and the Philippine National Police under the Enhanced Comprehensive Local Integration Program (E-CLIP). Images showed the recovered items consisted of one Intratec TEC-9 submachine gun, two M76 rifle grenades, and approximately 250 rounds of ammunition. The 31st Infantry Battalion took custody of the weapons.	"one Intratec TEC-9 submachine gun
two M76 rifle grenades
approximately 250 rounds of ammunition"	"NSAG (CPP-NPA)
Military (31st Infantry Battalion)
Police (PNP)"																		2		250				1		Insurgency		7.5	https://www.facebook.com/RadyoPilipinas/posts/pfbid0vXv5pVjspUdCy6CDMzZdYct5crUpsy2qS9zXxnc9nZQyixRjqvWcptAbcgKEJ2a2l
1	PHL.26.02.21.001	Seizure	NPA arms cache recovered by army and police in Buenavista, Quezon	2/21/2026	Between Brgys San Isidro Ilaya and Rizal, Buenavista, Quezon Province 	13.7074	122.4195	Troops from the 85th Infantry (Sandiwa) Battalion, under the 201st Infantry (Kabalikat) Brigade, operating in coordination with the Philippine National Police in Quezon, recovered a buried arms cache at the boundary of Barangay San Isidro Ilaya and Barangay Rizal in Buenavista on 21 February. The operation was initiated following information provided by a former NPA member regarding the location of the concealed weapons. According to military reports, the firearms were buried following a series of armed encounters in Barangay Pansoy, San Andres, Quezon, and Barangay Huyon-Huyon, San Francisco, Quezon in January 2023. During their withdrawal, retreating NPA members buried two M16 rifles with attached M203 grenade launchers after exhausting their ammunition, and abandoned a third M16 rifle to hasten their movement. Intensified military operations and gunshot wounds sustained by some members of the group compelled them to leave the weapons behind. Security and clearing operations in the area are ongoing.	"three M16A1 assault rifles
two M203 40mm grenade launchers"	"NSAG (CPP-NPA)
Military (85th Infantry Battalion / 201st Infantry Brigade / 2nd Infantry Division, Philippine Army) 
Police (PNP Quezon)"				3						2																Insurgency		35	https://www.facebook.com/junglefighterdivision/posts/pfbid0pScv9AFf2HEYEWR5eQvNQ6b1o9jFYiAFRD51VmUhkUN39ZLVHyvvRxsV7pA5FheCl
1	PHL.26.02.21.002	Surrender	NPA member surrenders craft shotgun to police in Talakag, Bukidnon	2/21/2026	Barangay Tagbak, Talakag, Bukidnon	7.977	124.583	An NPA member surrendered one craft shotgun and three rounds of ammunition to police in Barangay Tagbak, Talakag, Bukidnon on 21 February 2026. The surrender was the result of sustained intelligence and community engagement efforts conducted by personnel of the 1004th and 1003rd Maneuver Companies, PRO 10, the Talakag Municipal Police Station, and the Bukidnon Provincial Intelligence Unit.	"one craft shotgun
three rounds of ammunition"	"NSAG (CPP-NPA)
Police (1004th Maneuver Company, 1003rd Maneuver Company, PRO 10, Talakag Municipal Police Station, Bukidnon Provincial Intelligence Unit)"																				3			1			Insurgency		0.53	https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid0MoJBTQkgbPZJhLFCZvmTtmxnJqGUFG91HBC81jBDKaQ7M5KKKCjX2w4K4siNxDnvl
1	PHL.26.02.21.003	Surrender	Milisyang Bayan member surrenders rifle to troops in San Mariano, Isabela	2/21/2026	San Mariano, Isabela	16.9837	122.0004	A former Milisyang Bayan member voluntarily surrendered a rifle, ammunition, and materials for improvised explosive devices to troops of the 95th Infantry Battalion in San Mariano, Isabela on 21 February 2026. The surrender was attributed to sustained engagement efforts by the battalion and the government's continuing call for armed group members to abandon violence. Images corroborated the recovery of one bolt-action rifle and 12 rounds of ammunition.	"one bolt-action rifle
12 rounds of ammunition
IED materials"	"NSAG (Milisyang Bayan / CPP-NPA)
Military (95th Infantry Battalion, 5th Infantry Division)"					1															12						Insurgency		3.12	https://www.facebook.com/5thinfantrystardivision/posts/pfbid0233zwMC5EUZnxbPiWgy9tuUpyfzYK29uHUhejoyRk3YZtmTPkc1jTkzQFDYHGdi5nl
1	PHL.26.02.21.004	Illicit transfer	Police arrest alleged arms trafficker in buy-bust operation in Cebu City	2/21/2026	Abasolo White Road, Barangay Inayawan, Cebu City	10.2662	123.8599	Personnel of the CIDG Lapu-Lapu City Field Unit and CIDG RFU-7 conducted a buy-bust operation on Abasolo White Road in Barangay Inayawan, Cebu City on 21 February 2026, resulting in the arrest of a 47-year-old male resident of Barangay Pardo. The suspect was allegedly selling unregistered firearms and was found in possession of one "Ingram M11"-style submachine gun, two caliber .45 pistols, and associated magazines. Two sachets of suspected shabu were also seized during the operation. The suspect is alleged to have been involved in gunrunning and drug activities in and around Cebu City.	"one M11-style submachine gun
two caliber .45 pistols"	"Criminal individual (arms trafficker, drug user)
Police (CIDG Lapu-Lapu City Field Unit, CIDG RFU-7)"		2																						1		Crime	Drug trafficking	3	https://www.facebook.com/cidg.pio/posts/pfbid02KFkdpPCzw6Qgm6SgFWZB7z5VRZt4dcMFS7jv3MHpMQa6mrKXd6gY3GSfKomQDUqyl
1	PHL.26.02.22.001	Seizure	83rd Infantry Battalion clashes with NPA in Presentacion, Camarines Sur	2/22/2026	Barangay Lidong, Presentacion, Camarines Sur	13.8095	123.6932	Troops of the 83rd Infantry Battalion, operating under the 901st Infantry Brigade, conducted an operation against NPA elements in Barangay Lidong, Presentacion, Camarines Sur on 22 February 2026. The operation resulted in an armed encounter, after which troops seized one M16A1 rifle, one M14 rifle, dozens of rounds of ammunition, and an improvised explosive device. Traces of blood were discovered at the encounter site, indicating that NPA members sustained injuries during the clash.	"one M16A1 assault rifle
one M14 rifle
dozens of rounds of ammunition
one improvised explosive device"	"NSAG (CPP-NPA)
Military (83rd Infantry Battalion, 901st Infantry Brigade)"				1	1																					Insurgency		8	https://www.facebook.com/fightemtroopers/posts/pfbid0R8P2Fj8Dx58R6Z6NqRvmz55Sd5nX84oafnrQpZYZueJYH9Nz4ZuzaMQ2UAAE8Tonl
